num_nodes,num_edges,infected_now,avg_degree,clustering_coeff,infected_after_10
100,484,1,9.68,0.09080216515510633,100
100,484,1,9.68,0.08824425574425573,100
100,489,1,9.78,0.09264191364191364,100
100,490,1,9.8,0.09703721278721279,100
100,490,1,9.8,0.11046686646686647,100
100,488,1,9.76,0.08463895255071727,100
100,486,1,9.72,0.09808191808191807,100
100,492,1,9.84,0.09613614163614165,100
100,489,1,9.78,0.08194597069597069,100
100,485,1,9.7,0.0775473692973693,100
100,484,1,9.68,0.09629299948417595,100
100,486,1,9.72,0.08693148518148519,100
100,486,1,9.72,0.07809129759129758,100
100,491,1,9.82,0.09243611943611944,100
100,489,1,9.78,0.08379767454767455,100
100,490,1,9.8,0.09966480449375187,100
100,484,1,9.68,0.09423515373515373,100
100,489,1,9.78,0.09941808191808192,100
100,481,1,9.62,0.10225801975801975,100
100,487,1,9.74,0.10269103282338576,100
100,487,1,9.74,0.09186963036963038,100
100,494,1,9.88,0.08696359196359196,100
100,485,1,9.7,0.08637873237873238,100
100,486,1,9.72,0.09552358752358753,100
100,488,1,9.76,0.09136044347809053,100
100,492,1,9.84,0.08953324453324454,100
100,482,1,9.64,0.0809879564879565,100
100,489,1,9.78,0.08236074383133207,100
100,490,1,9.8,0.09218817293817294,100
100,490,1,9.8,0.08325779775779775,100
100,486,1,9.72,0.09104451104451104,100
100,485,1,9.7,0.08692640692640692,100
100,488,1,9.76,0.08881413031413031,100
100,489,1,9.78,0.09200555000555001,100
100,485,1,9.7,0.08634348984348984,100
100,484,1,9.68,0.09101973026973027,100
100,493,1,9.86,0.10297308247308248,100
100,492,1,9.84,0.08246325896325896,100
100,489,1,9.78,0.09341108891108892,100
100,480,1,9.6,0.08990798090798091,100
100,491,1,9.82,0.08914918414918414,100
100,490,1,9.8,0.10110972360972362,100
100,490,1,9.8,0.09727103452103451,100
100,484,1,9.68,0.09168259518259518,100
100,491,1,9.82,0.090911712470536,100
100,487,1,9.74,0.09694444444444444,100
100,486,1,9.72,0.09101995226995227,100
100,483,1,9.66,0.0869080364080364,100
100,489,1,9.78,0.09160733710733711,100
100,490,1,9.8,0.07542479742479742,100
100,489,1,9.78,0.09066106279341574,100
100,484,1,9.68,0.09920349095349096,100
100,487,1,9.74,0.08969730269730271,100
100,490,1,9.8,0.0839057054057054,100
100,493,1,9.86,0.09646428571428571,100
100,493,1,9.86,0.09413048552754434,100
100,484,1,9.68,0.08519524919524919,100
100,489,1,9.78,0.09053482628482629,100
100,492,1,9.84,0.08331277056277056,100
100,488,1,9.76,0.09473077249547839,100
100,486,1,9.72,0.09372796974267562,100
100,490,1,9.8,0.09721791443850267,100
100,483,1,9.66,0.09294882894882894,100
100,486,1,9.72,0.07970823620823621,100
100,496,1,9.92,0.09632448270683565,100
100,490,1,9.8,0.100258103008103,100
100,481,1,9.62,0.0899455821955822,100
100,484,1,9.68,0.08711938061938061,100
100,489,1,9.78,0.08566967019908196,100
100,492,1,9.84,0.09601471241177123,100
100,482,1,9.64,0.09622050172050171,100
100,492,1,9.84,0.0973966033966034,100
100,489,1,9.78,0.08076173826173826,100
100,491,1,9.82,0.09591258741258742,100
100,490,1,9.8,0.09596578421578421,100
100,486,1,9.72,0.09051206473265296,100
100,491,1,9.82,0.10295174106938813,100
100,487,1,9.74,0.09079412254412254,100
100,488,1,9.76,0.0847943722943723,100
100,488,1,9.76,0.09260772560772561,100
100,492,1,9.84,0.08593933130852635,100
100,493,1,9.86,0.0970064935064935,100
100,488,1,9.76,0.0961889221889222,100
100,486,1,9.72,0.07613456151691446,100
100,491,1,9.82,0.09225596625596624,100
100,483,1,9.66,0.08022404203983152,100
100,483,1,9.66,0.09783581124757594,100
100,490,1,9.8,0.09107409257409257,100
100,489,1,9.78,0.09757481407481407,100
